sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22
1,1.454,3,20.44,-20.44,-1.0,-7.56,0.00306771,0.52272495,0.06028782,0.47566276,-0.12133662,-0.05298372,0.05213121,-0.03999807,0.0251375,-0.00768561,0.02045362,-0.01838666,-0.0059402,-0.0003444,0.02367064,-0.00115207,-0.00019257,-3.138e-05,2.16e-06,0.00018572,0.00110157,6e-08,-2.42e-06,4e-08,2.2e-07,0.00032344
1,1.454,4,-20.44,-20.44,-41.88,-7.56,0.12839252,0.52238788,0.06055448,0.4357117,-0.12162937,-0.04450552,0.04829749,-0.04023957,0.02888874,-0.00580742,0.01909054,-0.01488215,-0.00471437,-0.00447483,0.02361458,-0.00106925,0.00036097,-1.884e-05,2.993e-05,0.00046164,0.0010974,-1.54e-06,-2.01e-06,2.7e-07,7e-08,0.00032351
1,1.454,5,-20.44,20.44,-41.88,33.32,0.12898164,0.39888164,0.04872024,0.47130755,-0.08586589,-0.03778115,0.0598081,-0.01911804,0.02713843,-0.00561454,0.02266679,-0.01250502,-0.00172786,-0.00255315,0.02398113,-0.00058948,0.00021455,-3.47e-06,1.26e-05,0.00046149,0.00082892,-8.7e-07,-8.2e-07,1e-07,-1e-08,0.00032333
1,1.38,1,0.0,0.0,-21.44,12.88,0.06592066,0.46106681,0.05745414,0.51781244,-0.10891839,-0.04897719,0.06204338,-0.03097578,0.02830694,-0.00754912,0.02380473,-0.01668545,-0.00397537,-0.001996,0.02512649,-0.00091794,4.741e-05,-1.705e-05,1.205e-05,0.00034051,0.00101816,-6e-07,-1.68e-06,1.2e-07,9e-08,0.00034071
1,1.38,2,20.44,20.44,-1.0,33.32,0.00308179,0.39914332,0.05220972,0.55027288,-0.08634411,-0.05545903,0.06621407,-0.01768055,0.02698527,-0.00783851,0.02502071,-0.01924824,-0.00280021,-0.00018858,0.02532928,-0.00070562,-0.00021532,-1.115e-05,8.3e-07,0.00019296,0.00087745,8e-08,-1.19e-06,3e-08,5e-08,0.00034061
1,1.38,3,20.44,-20.44,-1.0,-7.56,0.00306769,0.52272476,0.06343528,0.50116518,-0.12762122,-0.05582505,0.05492383,-0.04201443,0.02648552,-0.00809868,0.0215494,-0.01937267,-0.00625872,-0.00036286,0.02494023,-0.00121385,-0.0002029,-3.306e-05,2.28e-06,0.00019567,0.00116064,6e-08,-2.55e-06,5e-08,2.3e-07,0.00034078
1,1.38,4,-20.44,-20.44,-41.88,-7.56,0.12839143,0.52238769,0.06371421,0.45907938,-0.12792252,-0.04689785,0.05088464,-0.04226475,0.03043926,-0.00611676,0.02011326,-0.01568224,-0.00496719,-0.00471473,0.02488117,-0.00112658,0.00038033,-1.986e-05,3.154e-05,0.00048639,0.00115624,-1.62e-06,-2.12e-06,2.9e-07,7e-08,0.00034085
1,1.38,5,-20.44,20.44,-41.88,33.32,0.12898052,0.39888252,0.0512818,0.49660542,-0.09025518,-0.03981292,0.06301802,-0.02001865,0.02858929,-0.00591499,0.02388325,-0.01317764,-0.00182055,-0.00269004,0.02526736,-0.00062109,0.00022605,-3.65e-06,1.327e-05,0.00048623,0.00087337,-9.1e-07,-8.7e-07,1e-07,-1e-08,0.00034067
1,1.577,1,0.0,0.0,-21.44,12.88,0.06592066,0.46106681,0.05043737,0.45310617,-0.0958213,-0.04285202,0.05429296,-0.02740103,0.02477254,-0.0066058,0.02083106,-0.01459865,-0.00347877,-0.00174667,0.02198701,-0.00080327,4.148e-05,-1.492e-05,1.054e-05,0.00029798,0.00089098,-5.2e-07,-1.47e-06,1e-07,8e-08,0.00029815
1,1.577,2,20.44,20.44,-1.0,33.32,0.00308179,0.39914332,0.04578489,0.48144996,-0.07605025,-0.04853075,0.05793614,-0.01575696,0.02361443,-0.00685394,0.02189284,-0.01684363,-0.00245039,-0.00016502,0.02216448,-0.00061747,-0.00018842,-9.76e-06,7.2e-07,0.00016886,0.00076784,7e-08,-1.04e-06,3e-08,5e-08,0.00029806
